model,roc_auc,ap,f1,precision,recall,threshold,dataset
SAAB-DL,0.9999335724724326,0.9933578634773461,0.975,0.9512195121951219,1.0,0.9509479307004756,B4_1pct
LGBM,0.9999335724724325,0.9932794926559413,0.975,0.9512195121951219,1.0,0.9901395314189917,B4_1pct
XGB+SMOTE,0.9998605021921084,0.9842434633240769,0.9620253164556962,0.95,0.9743589743589743,0.9891030788421631,B4_1pct
SAAB-DL,0.9998538594393517,0.9924832418596905,0.975,0.9512195121951219,1.0,0.9369965695172927,B5_2pct
LGBM,0.9998804304503786,0.9940904642099468,0.975,0.9512195121951219,1.0,0.8717780378776158,B5_2pct
XGB+SMOTE,0.9998405739338383,0.9922822835872456,0.9620253164556962,0.95,0.9743589743589743,0.9353179931640625,B5_2pct
SAAB-DL,1.0,1.0,1.0,1.0,1.0,0.9234649870418625,C_channel_airtime
LGBM,1.0,1.0,1.0,1.0,1.0,0.9999997886670291,C_channel_airtime
XGB+SMOTE,0.9999166851810709,0.8928571428571428,0.8571428571428571,1.0,0.75,0.9891513586044312,C_channel_airtime
SAAB-DL,0.9998204221460935,0.9394849218404024,0.9253731343283582,0.8857142857142857,0.96875,0.2470469120588017,C_channel_financia
LGBM,0.9999171179135815,0.9786234919316816,0.9354838709677419,0.9666666666666667,0.90625,0.9999946369693792,C_channel_financia
XGB+SMOTE,0.9998739501602387,0.9791224533106961,0.967741935483871,1.0,0.9375,0.9999499320983887,C_channel_financia
SAAB-DL,1.0,1.0,1.0,1.0,1.0,0.9995764140913019,C_channel_utility_
LGBM,1.0,1.0,1.0,1.0,1.0,0.9999975186401643,C_channel_utility_
XGB+SMOTE,1.0,1.0,1.0,1.0,1.0,0.9999899864196777,C_channel_utility_
SAAB-DL,0.9997394805187829,0.9229665869300022,0.8918918918918919,0.9428571428571428,0.8461538461538461,0.9623646486882333,D1_amount_noise_20pct
LGBM,0.9998354967193346,0.9474090881510033,0.8947368421052632,0.918918918918919,0.8717948717948718,0.5327496693565248,D1_amount_noise_20pct
XGB+SMOTE,0.9998576543040772,0.9481081545437371,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.9937530159950256,D1_amount_noise_20pct
SAAB-DL,0.9998334823934489,0.9359264398163357,0.9066666666666666,0.9444444444444444,0.8717948717948718,0.6910159578105781,D2_amount_noise_40pct
LGBM,0.9998972693798293,0.9629815798018393,0.9166666666666666,1.0,0.8461538461538461,0.9978512437372113,D2_amount_noise_40pct
XGB+SMOTE,0.9998301251836395,0.9312330923193459,0.9041095890410958,0.9705882352941176,0.8461538461538461,0.9997922778129578,D2_amount_noise_40pct
SAAB-DL,0.9999994294818063,0.9999993686508263,0.9998428908091124,0.9997905320485966,0.9998952550539436,0.9859023409978328,E1_global_SMOTE
LGBM,0.9999993801100396,0.9999993194479996,0.9998429072629209,0.9996858638743455,1.0,0.3795420428740554,E1_global_SMOTE
XGB+SMOTE,0.9999842901781048,0.9999812415784032,0.9998429072629209,0.9996858638743455,1.0,0.6974408626556396,E1_global_SMOTE
SAAB-DL,0.9999992690618454,0.9999991296901496,0.9998167395345184,0.9996335462255261,1.0,0.19946614486639783,E2_ADASYN
LGBM,0.9999989838176875,0.999998844379215,0.9998429154885329,0.9996858803204021,1.0,0.3953857865324311,E2_ADASYN
XGB+SMOTE,0.999998204881718,0.9999980455690158,0.9998429154885329,0.9996858803204021,1.0,0.47083917260169983,E2_ADASYN
